Body,mass,x,y,vx,vy
1,10.000000,0.050000,0.015000,1.000000,0.300000
2,40.000000,2.025000,2.100000,0.500000,2.000000
3,30.000000,3.085000,3.105000,1.700000,2.100000
4,34.000000,4.005000,4.045000,0.100000,0.900000
1,10.000000,0.100000,0.030000,1.000000,0.300000
2,40.000000,2.050000,2.200000,0.500000,2.000000
3,30.000000,3.170000,3.210000,1.700000,2.100000
4,34.000000,4.010000,4.090000,0.100000,0.900000
1,10.000000,0.150000,0.045000,1.000000,0.300000
2,40.000000,2.075000,2.300000,0.500000,2.000000
3,30.000000,3.255000,3.315000,1.700000,2.100000
4,34.000000,4.015000,4.135000,0.100000,0.900000
1,10.000000,0.200000,0.060000,1.000000,0.300000
2,40.000000,2.100000,2.400000,0.500000,2.000000
3,30.000000,3.340000,3.420000,1.700000,2.100000
4,34.000000,4.020000,4.180000,0.100000,0.900000
1,10.000000,0.250000,0.075000,1.000000,0.300000
2,40.000000,2.125000,2.500000,0.500000,2.000000
3,30.000000,3.425000,3.525000,1.700000,2.100000
4,34.000000,4.025000,4.225000,0.100000,0.900000
1,10.000000,0.300000,0.090000,1.000000,0.300000
2,40.000000,2.150000,2.600000,0.500000,2.000000
3,30.000000,3.510000,3.630000,1.700000,2.100000
4,34.000000,4.030000,4.270000,0.100000,0.900000
1,10.000000,0.350000,0.105000,1.000000,0.300000
2,40.000000,2.175000,2.700000,0.500000,2.000000
3,30.000000,3.595000,3.735000,1.700000,2.100000
4,34.000000,4.035000,4.315000,0.100000,0.900000
1,10.000000,0.400000,0.120000,1.000000,0.300000
2,40.000000,2.200000,2.800000,0.500000,2.000000
3,30.000000,3.680000,3.840000,1.700000,2.100000
4,34.000000,4.040000,4.360000,0.100000,0.900000
1,10.000000,0.450000,0.135000,1.000000,0.300000
2,40.000000,2.225000,2.900000,0.500000,2.000000
3,30.000000,3.765000,3.945000,1.700000,2.100000
4,34.000000,4.045000,4.405000,0.100000,0.900000
1,10.000000,0.500000,0.150000,1.000000,0.300000
2,40.000000,2.250000,3.000000,0.500000,2.000000
3,30.000000,3.850000,4.050000,1.700000,2.100000
4,34.000000,4.050000,4.450000,0.100000,0.900000
1,10.000000,0.550000,0.165000,1.000000,0.300000
2,40.000000,2.275000,3.100000,0.500000,2.000000
3,30.000000,3.935000,4.155000,1.700000,2.100000
4,34.000000,4.055000,4.495000,0.100000,0.900000
1,10.000000,0.600000,0.180000,1.000000,0.300000
2,40.000000,2.300000,3.200000,0.500000,2.000000
3,30.000000,4.020000,4.260000,1.700000,2.100000
4,34.000000,4.060000,4.540000,0.100000,0.900000
1,10.000000,0.650000,0.195000,1.000000,0.300000
2,40.000000,2.325000,3.300000,0.500000,2.000000
3,30.000000,4.105000,4.365000,1.700000,2.100000
4,34.000000,4.065000,4.585000,0.100000,0.900000
1,10.000000,0.700000,0.210000,1.000000,0.300000
2,40.000000,2.350000,3.400000,0.500000,2.000000
3,30.000000,4.190000,4.470000,1.700000,2.100000
4,34.000000,4.070000,4.630000,0.100000,0.900000
1,10.000000,0.750000,0.225000,1.000000,0.300000
2,40.000000,2.375000,3.500000,0.500000,2.000000
3,30.000000,4.275000,4.575000,1.700000,2.100000
4,34.000000,4.075000,4.675000,0.100000,0.900000
1,10.000000,0.800000,0.240000,1.000000,0.300000
2,40.000000,2.400000,3.600000,0.500000,2.000000
3,30.000000,4.360000,4.680000,1.700000,2.100000
4,34.000000,4.080000,4.720000,0.100000,0.900000
1,10.000000,0.850000,0.255000,1.000000,0.300000
2,40.000000,2.425000,3.700000,0.500000,2.000000
3,30.000000,4.445000,4.785000,1.700000,2.100000
4,34.000000,4.085000,4.765000,0.100000,0.900000
1,10.000000,0.900000,0.270000,1.000000,0.300000
2,40.000000,2.450000,3.800000,0.500000,2.000000
3,30.000000,4.530000,4.890000,1.700000,2.100000
4,34.000000,4.090000,4.810000,0.100000,0.900000
1,10.000000,0.950000,0.285000,1.000000,0.300000
2,40.000000,2.475000,3.900000,0.500000,2.000000
3,30.000000,4.615000,4.995000,1.700000,2.100000
4,34.000000,4.095000,4.855000,0.100000,0.900000
1,10.000000,1.000000,0.300000,1.000000,0.300000
2,40.000000,2.500000,4.000000,0.500000,2.000000
3,30.000000,4.700000,5.100000,1.700000,2.100000
4,34.000000,4.100000,4.900000,0.100000,0.900000
1,10.000000,1.050000,0.315000,1.000000,0.300000
2,40.000000,2.525000,4.100000,0.500000,2.000000
3,30.000000,4.785000,5.205000,1.700000,2.100000
4,34.000000,4.105000,4.945000,0.100000,0.900000
1,10.000000,1.100000,0.330000,1.000000,0.300000
2,40.000000,2.550000,4.200000,0.500000,2.000000
3,30.000000,4.870000,5.310000,1.700000,2.100000
4,34.000000,4.110000,4.990000,0.100000,0.900000
1,10.000000,1.150000,0.345000,1.000000,0.300000
2,40.000000,2.575000,4.300000,0.500000,2.000000
3,30.000000,4.955000,5.415000,1.700000,2.100000
4,34.000000,4.115000,5.035000,0.100000,0.900000
1,10.000000,1.200000,0.360000,1.000000,0.300000
2,40.000000,2.600000,4.400000,0.500000,2.000000
3,30.000000,5.040000,5.520000,1.700000,2.100000
4,34.000000,4.120000,5.080000,0.100000,0.900000
1,10.000000,1.250000,0.375000,1.000000,0.300000
2,40.000000,2.625000,4.500000,0.500000,2.000000
3,30.000000,5.125000,5.625000,1.700000,2.100000
4,34.000000,4.125000,5.125000,0.100000,0.900000
1,10.000000,1.300000,0.390000,1.000000,0.300000
2,40.000000,2.650000,4.600000,0.500000,2.000000
3,30.000000,5.210000,5.730000,1.700000,2.100000
4,34.000000,4.130000,5.170000,0.100000,0.900000
1,10.000000,1.350000,0.405000,1.000000,0.300000
2,40.000000,2.675000,4.700000,0.500000,2.000000
3,30.000000,5.295000,5.835000,1.700000,2.100000
4,34.000000,4.135000,5.215000,0.100000,0.900000
1,10.000000,1.400000,0.420000,1.000000,0.300000
2,40.000000,2.700000,4.800000,0.500000,2.000000
3,30.000000,5.380000,5.940000,1.700000,2.100000
4,34.000000,4.140000,5.260000,0.100000,0.900000
1,10.000000,1.450000,0.435000,1.000000,0.300000
2,40.000000,2.725000,4.900000,0.500000,2.000000
3,30.000000,5.465000,6.045000,1.700000,2.100000
4,34.000000,4.145000,5.305000,0.100000,0.900000
1,10.000000,1.500000,0.450000,1.000000,0.300000
2,40.000000,2.750000,5.000000,0.500000,2.000000
3,30.000000,5.550000,6.150000,1.700000,2.100000
4,34.000000,4.150000,5.350000,0.100000,0.900000
1,10.000000,1.550000,0.465000,1.000000,0.300000
2,40.000000,2.775000,5.100000,0.500000,2.000000
3,30.000000,5.635000,6.255000,1.700000,2.100000
4,34.000000,4.155000,5.395000,0.100000,0.900000
1,10.000000,1.600000,0.480000,1.000000,0.300000
2,40.000000,2.800000,5.200000,0.500000,2.000000
3,30.000000,5.720000,6.360000,1.700000,2.100000
4,34.000000,4.160000,5.440000,0.100000,0.900000
1,10.000000,1.650000,0.495000,1.000000,0.300000
2,40.000000,2.825000,5.300000,0.500000,2.000000
3,30.000000,5.805000,6.465000,1.700000,2.100000
4,34.000000,4.165000,5.485000,0.100000,0.900000
1,10.000000,1.700000,0.510000,1.000000,0.300000
2,40.000000,2.850000,5.400000,0.500000,2.000000
3,30.000000,5.890000,6.570000,1.700000,2.100000
4,34.000000,4.170000,5.530000,0.100000,0.900000
1,10.000000,1.750000,0.525000,1.000000,0.300000
2,40.000000,2.875000,5.500000,0.500000,2.000000
3,30.000000,5.975000,6.675000,1.700000,2.100000
4,34.000000,4.175000,5.575000,0.100000,0.900000
1,10.000000,1.800000,0.540000,1.000000,0.300000
2,40.000000,2.900000,5.600000,0.500000,2.000000
3,30.000000,6.060000,6.780000,1.700000,2.100000
4,34.000000,4.180000,5.620000,0.100000,0.900000
1,10.000000,1.850000,0.555000,1.000000,0.300000
2,40.000000,2.925000,5.700000,0.500000,2.000000
3,30.000000,6.145000,6.885000,1.700000,2.100000
4,34.000000,4.185000,5.665000,0.100000,0.900000
1,10.000000,1.900000,0.570000,1.000000,0.300000
2,40.000000,2.950000,5.800000,0.500000,2.000000
3,30.000000,6.230000,6.990000,1.700000,2.100000
4,34.000000,4.190000,5.710000,0.100000,0.900000
1,10.000000,1.950000,0.585000,1.000000,0.300000
2,40.000000,2.975000,5.900000,0.500000,2.000000
3,30.000000,6.315000,7.095000,1.700000,2.100000
4,34.000000,4.195000,5.755000,0.100000,0.900000
1,10.000000,2.000000,0.600000,1.000000,0.300000
2,40.000000,3.000000,6.000000,0.500000,2.000000
3,30.000000,6.400000,7.200000,1.700000,2.100000
4,34.000000,4.200000,5.800000,0.100000,0.900000
1,10.000000,2.050000,0.615000,1.000000,0.300000
2,40.000000,3.025000,6.100000,0.500000,2.000000
3,30.000000,6.485000,7.305000,1.700000,2.100000
4,34.000000,4.205000,5.845000,0.100000,0.900000
1,10.000000,2.100000,0.630000,1.000000,0.300000
2,40.000000,3.050000,6.200000,0.500000,2.000000
3,30.000000,6.570000,7.410000,1.700000,2.100000
4,34.000000,4.210000,5.890000,0.100000,0.900000
1,10.000000,2.150000,0.645000,1.000000,0.300000
2,40.000000,3.075000,6.300000,0.500000,2.000000
3,30.000000,6.655000,7.515000,1.700000,2.100000
4,34.000000,4.215000,5.935000,0.100000,0.900000
1,10.000000,2.200000,0.660000,1.000000,0.300000
2,40.000000,3.100000,6.400000,0.500000,2.000000
3,30.000000,6.740000,7.620000,1.700000,2.100000
4,34.000000,4.220000,5.980000,0.100000,0.900000
1,10.000000,2.250000,0.675000,1.000000,0.300000
2,40.000000,3.125000,6.500000,0.500000,2.000000
3,30.000000,6.825000,7.725000,1.700000,2.100000
4,34.000000,4.225000,6.025000,0.100000,0.900000
1,10.000000,2.300000,0.690000,1.000000,0.300000
2,40.000000,3.150000,6.600000,0.500000,2.000000
3,30.000000,6.910000,7.830000,1.700000,2.100000
4,34.000000,4.230000,6.070000,0.100000,0.900000
1,10.000000,2.350000,0.705000,1.000000,0.300000
2,40.000000,3.175000,6.700000,0.500000,2.000000
3,30.000000,6.995000,7.935000,1.700000,2.100000
4,34.000000,4.235000,6.115000,0.100000,0.900000
1,10.000000,2.400000,0.720000,1.000000,0.300000
2,40.000000,3.200000,6.800000,0.500000,2.000000
3,30.000000,7.080000,8.040000,1.700000,2.100000
4,34.000000,4.240000,6.160000,0.100000,0.900000
1,10.000000,2.450000,0.735000,1.000000,0.300000
2,40.000000,3.225000,6.900000,0.500000,2.000000
3,30.000000,7.165000,8.145000,1.700000,2.100000
4,34.000000,4.245000,6.205000,0.100000,0.900000
1,10.000000,2.500000,0.750000,1.000000,0.300000
2,40.000000,3.250000,7.000000,0.500000,2.000000
3,30.000000,7.250000,8.250000,1.700000,2.100000
4,34.000000,4.250000,6.250000,0.100000,0.900000
1,10.000000,2.550000,0.765000,1.000000,0.300000
2,40.000000,3.275000,7.100000,0.500000,2.000000
3,30.000000,7.335000,8.355000,1.700000,2.100000
4,34.000000,4.255000,6.295000,0.100000,0.900000
1,10.000000,2.600000,0.780000,1.000000,0.300000
2,40.000000,3.300000,7.200000,0.500000,2.000000
3,30.000000,7.420000,8.460000,1.700000,2.100000
4,34.000000,4.260000,6.340000,0.100000,0.900000
1,10.000000,2.650000,0.795000,1.000000,0.300000
2,40.000000,3.325000,7.300000,0.500000,2.000000
3,30.000000,7.505000,8.565000,1.700000,2.100000
4,34.000000,4.265000,6.385000,0.100000,0.900000
1,10.000000,2.700000,0.810000,1.000000,0.300000
2,40.000000,3.350000,7.400000,0.500000,2.000000
3,30.000000,7.590000,8.670000,1.700000,2.100000
4,34.000000,4.270000,6.430000,0.100000,0.900000
1,10.000000,2.750000,0.825000,1.000000,0.300000
2,40.000000,3.375000,7.500000,0.500000,2.000000
3,30.000000,7.675000,8.775000,1.700000,2.100000
4,34.000000,4.275000,6.475000,0.100000,0.900000
1,10.000000,2.800000,0.840000,1.000000,0.300000
2,40.000000,3.400000,7.600000,0.500000,2.000000
3,30.000000,7.760000,8.880000,1.700000,2.100000
4,34.000000,4.280000,6.520000,0.100000,0.900000
1,10.000000,2.850000,0.855000,1.000000,0.300000
2,40.000000,3.425000,7.700000,0.500000,2.000000
3,30.000000,7.845000,8.985000,1.700000,2.100000
4,34.000000,4.285000,6.565000,0.100000,0.900000
1,10.000000,2.900000,0.870000,1.000000,0.300000
2,40.000000,3.450000,7.800000,0.500000,2.000000
3,30.000000,7.930000,9.090000,1.700000,2.100000
4,34.000000,4.290000,6.610000,0.100000,0.900000
1,10.000000,2.950000,0.885000,1.000000,0.300000
2,40.000000,3.475000,7.900000,0.500000,2.000000
3,30.000000,8.015000,9.195000,1.700000,2.100000
4,34.000000,4.295000,6.655000,0.100000,0.900000
1,10.000000,3.000000,0.900000,1.000000,0.300000
2,40.000000,3.500000,8.000000,0.500000,2.000000
3,30.000000,8.100000,9.300000,1.700000,2.100000
4,34.000000,4.300000,6.700000,0.100000,0.900000
1,10.000000,3.050000,0.915000,1.000000,0.300000
2,40.000000,3.525000,8.100000,0.500000,2.000000
3,30.000000,8.185000,9.405000,1.700000,2.100000
4,34.000000,4.305000,6.745000,0.100000,0.900000
1,10.000000,3.100000,0.930000,1.000000,0.300000
2,40.000000,3.550000,8.200000,0.500000,2.000000
3,30.000000,8.270000,9.510000,1.700000,2.100000
4,34.000000,4.310000,6.790000,0.100000,0.900000
1,10.000000,3.150000,0.945000,1.000000,0.300000
2,40.000000,3.575000,8.300000,0.500000,2.000000
3,30.000000,8.355000,9.615000,1.700000,2.100000
4,34.000000,4.315000,6.835000,0.100000,0.900000
1,10.000000,3.200000,0.960000,1.000000,0.300000
2,40.000000,3.600000,8.400000,0.500000,2.000000
3,30.000000,8.440000,9.720000,1.700000,2.100000
4,34.000000,4.320000,6.880000,0.100000,0.900000
1,10.000000,3.250000,0.975000,1.000000,0.300000
2,40.000000,3.625000,8.500000,0.500000,2.000000
3,30.000000,8.525000,9.825000,1.700000,2.100000
4,34.000000,4.325000,6.925000,0.100000,0.900000
1,10.000000,3.300000,0.990000,1.000000,0.300000
2,40.000000,3.650000,8.600000,0.500000,2.000000
3,30.000000,8.610000,9.930000,1.700000,2.100000
4,34.000000,4.330000,6.970000,0.100000,0.900000
1,10.000000,3.350000,1.005000,1.000000,0.300000
2,40.000000,3.675000,8.700000,0.500000,2.000000
3,30.000000,8.695000,10.035000,1.700000,2.100000
4,34.000000,4.335000,7.015000,0.100000,0.900000
1,10.000000,3.400000,1.020000,1.000000,0.300000
2,40.000000,3.700000,8.800000,0.500000,2.000000
3,30.000000,8.780000,10.140000,1.700000,2.100000
4,34.000000,4.340000,7.060000,0.100000,0.900000
1,10.000000,3.450000,1.035000,1.000000,0.300000
2,40.000000,3.725000,8.900000,0.500000,2.000000
3,30.000000,8.865000,10.245000,1.700000,2.100000
4,34.000000,4.345000,7.105000,0.100000,0.900000
1,10.000000,3.500000,1.050000,1.000000,0.300000
2,40.000000,3.750000,9.000000,0.500000,2.000000
3,30.000000,8.950000,10.350000,1.700000,2.100000
4,34.000000,4.350000,7.150000,0.100000,0.900000
1,10.000000,3.550000,1.065000,1.000000,0.300000
2,40.000000,3.775000,9.100000,0.500000,2.000000
3,30.000000,9.035000,10.455000,1.700000,2.100000
4,34.000000,4.355000,7.195000,0.100000,0.900000
1,10.000000,3.600000,1.080000,1.000000,0.300000
2,40.000000,3.800000,9.200000,0.500000,2.000000
3,30.000000,9.120000,10.560000,1.700000,2.100000
4,34.000000,4.360000,7.240000,0.100000,0.900000
1,10.000000,3.650000,1.095000,1.000000,0.300000
2,40.000000,3.825000,9.300000,0.500000,2.000000
3,30.000000,9.205000,10.665000,1.700000,2.100000
4,34.000000,4.365000,7.285000,0.100000,0.900000
1,10.000000,3.700000,1.110000,1.000000,0.300000
2,40.000000,3.850000,9.400000,0.500000,2.000000
3,30.000000,9.290000,10.770000,1.700000,2.100000
4,34.000000,4.370000,7.330000,0.100000,0.900000
