n_bodies,n_threads,n_retries,mean_comp_time,hyper_threading,speed_up,efficiency
120,1,21,0.512201865514,True,1.0,1.0
120,2,21,0.430121671586,True,1.190830175157981,0.5954150875789905
120,4,21,0.403391122818,True,1.2697400526215663,0.3174350131553916
120,6,21,0.391042970476,True,1.3098352462148046,0.2183058743691341
120,12,21,0.378881352288,True,1.3518793216422507,0.11265661013685423
120,24,21,0.404148499171,True,1.2673605532734675,0.052806689719727816
120,30,21,0.415681191853,True,1.2321987993508574,0.04107329331169525
120,40,21,0.453934385663,True,1.1283610180046104,0.02820902545011526
120,60,21,0.515586398897,True,0.9934355650377115,0.016557259417295193
120,120,21,0.665395509629,True,0.7697705471435853,0.006414754559529877
240,1,21,1.464676277978,True,1.0,1.0
240,2,21,1.097324859528,True,1.3347699774231045,0.6673849887115523
240,4,21,0.932572285334,True,1.5705766738000662,0.39264416845001654
240,6,21,0.882123027529,True,1.6603990965759576,0.2767331827626596
240,12,21,0.834249235335,True,1.7556818944998454,0.14630682454165378
240,24,21,0.820516847429,True,1.7850654530341497,0.07437772720975623
240,30,21,0.823813143231,True,1.77792293071889,0.059264097690629666
240,40,21,0.831862336113,True,1.760719549849939,0.044017988746248474
240,60,21,0.868661539895,True,1.6861299950669437,0.028102166584449063
240,120,21,1.087171406973,True,1.3472358347393285,0.011226965289494404
360,1,21,2.831890128908,True,1.0,1.0
360,2,21,1.954840603329,True,1.4486552632912506,0.7243276316456253
360,4,21,1.565375759488,True,1.8090800957811235,0.4522700239452809
360,6,21,1.481164148876,True,1.9119353726303836,0.3186558954383973
360,12,21,1.407071329298,True,2.012613056596679,0.16771775471638992
360,24,21,1.33242507208,True,2.125365386953609,0.08855689112306704
360,30,21,1.318471908569,True,2.1478577666334844,0.07159525888778281
360,40,21,1.320785011564,True,2.144096203480257,0.05360240508700642
360,60,21,1.334197680155,True,2.1225416375922688,0.03537569395987115
360,120,21,1.456867161251,True,1.943821787071018,0.016198514892258483
480,1,21,4.696612744104,True,1.0,1.0
480,2,21,3.066101687295,True,1.5317863603693724,0.7658931801846862
480,4,21,2.258418310256,True,2.079602668281423,0.5199006670703558
480,6,21,2.214987595876,True,2.1203788016007143,0.3533964669334524
480,12,21,2.01095971607,True,2.3355081191196345,0.19462567659330288
480,24,21,1.931676864624,True,2.4313656337226948,0.10130690140511228
480,30,21,1.896984418233,True,2.475830955152912,0.08252769850509707
480,40,21,1.894411768232,True,2.4791931843240254,0.06197982960810063
480,60,21,1.89178835778,True,2.4826311700191668,0.041377186166986116
480,120,21,1.995839311963,True,2.353201841427136,0.01961001534522613
600,1,21,7.164971658162,True,1.0,1.0
600,2,21,4.383087771279,True,1.6346858726197118,0.8173429363098559
600,4,21,3.140314329238,True,2.281609707490838,0.5704024268727095
600,6,21,3.020598604566,True,2.3720370019807593,0.39533950033012655
600,12,21,2.69124341011,True,2.662327618247338,0.22186063485394483
600,24,21,2.608902227311,True,2.7463549929760873,0.1144314580406703
600,30,21,2.557773828506,True,2.8012530186639184,0.09337510062213061
600,40,21,2.574932688758,True,2.782586002905564,0.0695646500726391
600,60,21,2.534042381105,True,2.8274869085013594,0.04712478180835599
600,120,21,2.618782361348,True,2.7359935533069195,0.022799946277557662
720,1,21,10.47324302083,True,1.0,1.0
720,2,21,6.168913932074,True,1.697745038454261,0.8488725192271305
720,4,21,4.241963148117,True,2.4689613405715356,0.6172403351428839
720,6,21,4.010261433465,True,2.6116110369843812,0.43526850616406354
720,12,21,3.529450496038,True,2.9673862921683654,0.24728219101403046
720,24,21,3.411868333817,True,3.069650407380505,0.12790210030752105
720,30,21,3.349807001296,True,3.1265213239980776,0.10421737746660259
720,40,21,3.394943010239,True,3.0849540004775204,0.07712385001193801
720,60,21,3.330553599766,True,3.144595247338411,0.05240992078897352
720,120,21,3.383826823462,True,3.0950883621505203,0.025792403017921003
840,1,21,14.888266222818,True,1.0,1.0
840,2,21,8.771372272855,True,1.6973702357717861,0.8486851178858931
840,4,21,5.683771496727,True,2.6194343371107385,0.6548585842776846
840,6,21,5.382051297597,True,2.7662809957730006,0.46104683262883345
840,12,21,4.471341780254,True,3.3297088333901095,0.2774757361158425
840,24,21,4.352439812251,True,3.420671362510598,0.14252797343794157
840,30,21,4.330340601149,True,3.4381282199528576,0.11460427399842858
840,40,21,4.334286235628,True,3.4349983857632376,0.08587495964408094
840,60,21,4.328989880426,True,3.4392009762224025,0.05732001627037338
840,120,21,4.30847133909,True,3.4555797291116668,0.028796497742597224
960,1,15,20.124492438634,True,1.0,1.0
960,2,21,12.02105933144,True,1.674103078919193,0.8370515394595965
960,4,21,7.377409503573,True,2.727853514012931,0.6819633785032327
960,6,21,6.821273236048,True,2.9502545554520854,0.49170909257534756
960,12,21,5.411025876091,True,3.719163962522429,0.3099303302102024
960,24,21,5.308833837509,True,3.7907557581566302,0.15794815658985958
960,30,21,5.41544338635,True,3.7161301490768377,0.12387100496922793
